คะแนนคณิตศาสตร์,คะแนนคอมพิวเตอร์,คะแนนภาษาไทย,คะแนนวิทยาศาสตร์,คะแนนศิลปะ,ทักษะการคิดเชิงตรรกะ,ทักษะความคิดสร้างสรรค์,ทักษะการแก้ปัญหา,ความสนใจด้านตัวเลข,ความสนใจด้านเทคโนโลยี,ความสนใจด้านการทำอาหาร,อายุ,เพศ,รายได้ครอบครัว,การศึกษาของผู้ปกครอง,จำนวนพี่น้อง,ชั่วโมงการนอน,ความถี่การออกกำลังกาย,ชั่วโมงใช้โซเชียลมีเดีย,ชอบอ่านหนังสือ,ประเภทเพลงที่ชอบ,แผนก,ชั้นปี,GPA,ความพึงพอใจในแผนก,หากเลือกใหม่จะเลือกแผนกเดิมไหม
56.2,48.3,70.0,75.4,80.4,5.6,7.6,3.5,1.0,6.8,7.6,17,0,2,4,0,5.2,3,3.7,1,2,อาหาร,1,4.0,5,1
96.6,47.3,86.4,42.1,78.1,5.3,3.6,3.6,1.0,4.6,2.7,18,0,4,2,1,6.4,4,4.3,1,3,บัญชี,3,3.69,4,2
81.2,93.4,83.2,91.1,36.7,4.2,4.7,7.6,5.3,5.2,4.1,16,1,2,2,2,8.3,4,1.1,1,2,สารสนเทศ,1,3.61,5,2
71.9,47.5,40.8,72.9,94.6,7.3,8.4,6.4,1.3,7.5,7.0,17,1,4,2,3,8.2,4,5.7,0,3,อาหาร,3,3.52,5,1
40.9,49.0,40.4,41.0,69.8,6.3,6.7,8.5,9.8,8.9,5.3,16,1,2,3,3,5.4,6,7.1,0,4,อาหาร,3,2.83,4,5
40.9,83.2,48.8,97.4,55.5,9.1,9.5,9.4,3.0,3.4,7.6,16,1,4,1,1,6.4,4,2.2,1,3,สารสนเทศ,1,3.23,4,2
34.1,61.5,55.3,66.3,83.0,3.2,6.0,5.7,5.3,4.1,9.7,19,1,5,2,1,7.8,4,1.4,0,1,อาหาร,1,3.06,4,2
90.6,84.4,58.6,35.1,48.0,7.5,9.1,7.2,1.6,9.4,2.0,18,0,5,2,3,6.6,4,6.1,1,4,บัญชี,1,2.76,3,4
72.1,34.6,77.6,73.9,78.5,8.3,6.1,6.5,5.7,6.2,7.4,17,1,2,2,3,7.1,4,1.5,0,3,อาหาร,1,3.01,3,4
79.6,64.1,34.0,47.7,32.8,8.3,9.9,9.9,4.4,2.6,3.1,16,1,3,4,3,8.6,3,0.3,1,1,บัญชี,3,2.81,4,2
